Name(Seed 0),Org,,,2prob,,,Presolving Runtime
neos-3004026-krka,189.246916,-1,-1,168.0066659,-1,-1,0.789063255
neos-3046615-murg,1800,541.4542345,1602,1800,520.6590909,1608,0.008525706
neos-3216931-puriri,1800,61425.52993,131305,1800,63952.68944,151410,0.753468528
neos-3402294-bobin,1800,0.025626,0.06725,1800,0.041858,0.0685,1.634736425
neos-3402454-bohle,1800,Inf,Inf,1800,Inf,Inf,9.803630783
neos-3555904-turama,1800,-40.95,-25.3,1800,-40.95,-34.7,12.53463794
neos-3627168-kasai,1800,987309.8066,988585.62,1800,987434.8152,988585.62,0.029701227
neos-3656078-kumeu,1800,Inf,Inf,1800,Inf,Inf,1.226913721
neos-3754480-nidda,1800,-300985.2232,13511.43464,1800,-320794.9685,13212.88355,0.0034433
neos-3988577-wolgan,1800,Inf,Inf,1798.219634,Inf,Inf,1.78036607
neos-4300652-rahue,1800,0.229583333,2.9733,1800,0.059926667,2.7784,2.689572973
neos-4387871-tavua,1800,28.09989661,35.1421,1800,27.49531518,33.38473,0.098003923
neos-4413714-turia,1800,45.01829851,47.34351696,1800,Inf,Inf,0
neos-4532248-waihi,1800,Inf,Inf,1800,Inf,Inf,24.78893247
neos-4647030-tutaki,1800,27265.24138,27268.4815,1800,27265.19282,27268.4815,0.395782873
neos-4722843-widden,527.468139,-1,-1,700.0016936,-1,-1,5.376394853
neos-4738912-atrato,632.910915,-1,-1,521.5845154,-1,-1,0.049318384
neos-4763324-toguru,1800,1194.822053,6970.541931,1800,1192.237301,6970.541931,8.322119958
neos5,842.676445,-1,-1,793.3265501,-1,-1,0.004266024
neos-5049753-cuanza,1800,Inf,Inf,1800,Inf,Inf,5.12027468
neos-5052403-cygnet,1800,179.5107743,300,1800,179.5107743,300,17.20944359
neos-5104907-jarama,1800,Inf,Inf,1800,Inf,Inf,13.66068118
neos-5114902-kasavu,1800,Inf,Inf,1800,Inf,Inf,22.84616409
neos-5188808-nattai,1800,8.67E-19,0.115010644,1800,0.0171875,0.110287132,0.243712034
neos-5195221-niemur,1800,0.00123293,0.003835496,1702.615717,-1,-1,1.789724672
neos-631710,1800,188.25,218,1800,188.25,214,29.00908931
neos-662469,1800,184368.7487,184535,1800,184368.9733,184568.5,2.785496026
neos-787933,2.800299,-1,-1,2.6401488,-1,-1,2.951989126
neos8,12.022708,-1,-1,4.8774558,-1,-1,20.88342219
neos-827175,11.295817,-1,-1,11.03468795,-1,-1,3.143370677
neos-848589,1800,2350.687064,2351.4031,1322.26471,-1,-1,3.986849486
neos-860300,30.573957,-1,-1,31.8968048,-1,-1,11.76498539
neos-911970,72.405577,-1,-1,54.61944535,-1,-1,0.101529152
neos-933966,1800,318,319,1476.162377,-1,-1,0.62416226
neos-950242,432.857152,-1,-1,1800,2.25,4,0.243065086
neos-957323,149.625473,-1,-1,170.1464773,-1,-1,4.124646153
neos-960392,1649.606377,-1,-1,1800,-238,-237,3.277022181
net12,669.283211,-1,-1,440.4938549,-1,-1,0.4032253
netdiversion,1051.376982,-1,-1,672.8839512,-1,-1,9.211832068
nexp-150-20-8-5,1800,229.5488836,240,1588.986681,-1,-1,0.332325864
ns1116954,1800,Inf,Inf,1800,Inf,Inf,13.74089057
ns1208400,1800,Inf,Inf,356.07501,-1,-1,0.319765992
ns1644855,1800,-1524.333333,-1420.333333,1800,-1524.333333,-1420.333333,13.29162597
ns1760995,1800,-1233.865232,-429.3570897,1800,-1095.398808,-418.8167834,5.558315761
ns1830653,176.496457,-1,-1,189.7653101,-1,-1,0.680091189
nu25-pr12,5.509859,-1,-1,7.77998985,-1,-1,0.089562169
nursesched-medium-hint03,1800,Inf,Inf,1800,Inf,Inf,5.679530934
nursesched-sprint02,189.03072,-1,-1,18.1930833,-1,-1,2.006663711
nw04,57.536419,-1,-1,42.2240952,-1,-1,30.70610701
peg-solitaire-a3,1800,Inf,Inf,1800,Inf,Inf,0.862939886
physiciansched3-3,1800,Inf,Inf,1800,Inf,Inf,2.407898167
physiciansched6-2,65.803899,-1,-1,78.84123245,-1,-1,4.118557094
piperout-08,21.453098,-1,-1,27.24066575,-1,-1,8.806889919
piperout-27,33.122832,-1,-1,26.6104101,-1,-1,6.964965751
pk1,157.862799,-1,-1,144.9118781,-1,-1,0.010223206
proteindesign121hz512p9,1800,1435.673542,1509,1800,1438.123343,1496,5.179770721
proteindesign122trx11p8,1800,1730.898489,1767,1800,1730.275141,1782,5.162537458
qap10,56.267337,-1,-1,90.7167179,-1,-1,18.9020063
radiationm18-12-05,1800,17563.90909,19522,1800,17563.2955,17903,3.028345049
radiationm40-10-02,1800,155321.4046,225795,1800,155320.626,224196,11.77441984
rail01,1800,Inf,Inf,1800,Inf,Inf,13.43624068
rail02,1800,Inf,Inf,1800,Inf,Inf,18.20068074
ran14x18-disj-8,1800,3683.46814,3712,1800,3682.553762,3712,0.02935527
rd-rplusc-21,1800,100,171924.3698,1800,100,170659.1656,12.61238333
reblock115,1800,-3.69E+07,-3.68E+07,1800,-3.69E+07,-3.68E+07,1.671838863
rmatr100-p10,202.5579,-1,-1,192.7956771,-1,-1,0.024760696
rmatr200-p5,1800,3289.649437,4521,1800,3289.649437,4521,0.150227959
rocI-4-11,142.630643,-1,-1,169.0984411,-1,-1,0.418828737
rocII-5-11,1800,-11.79015501,-5.674556556,1800,-11.7871909,-6.661558765,0.988896542
rococoB10-011000,1800,16456.94509,20153,1800,16313.90019,19547,0.427460951
rococoC10-001000,1494.26523,-1,-1,753.7095845,-1,-1,0.317048667
roi2alpha3n4,1800,-67.28439374,-63.20849208,1800,-69.08982349,-63.20849208,0.913788703
roi5alpha10n8,1800,-70.91392413,-48.15203596,1800,-70.76549605,-47.97950828,14.47655332
roll3000,60.35056,-1,-1,34.79750535,-1,-1,0.099799769
s100,1800,-0.170310509,-0.005,1800,-0.170291719,-0.01,28.81604483
s100,1800,-0.170310509,-0.005,1800,-0.170291719,-0.01,28.81604483
s250r10,1800,-0.172604187,-0.169853236,1800,-0.172418798,-0.171749975,28.73647546
satellites2-40,1800,-29,49,1800,-29,49,24.1032514
satellites2-60-fs,1800,-29,23,1800,-29,44,19.84243433
savsched1,1800,-801160.3,31859.6,1800,-801160.3,31859.6,15.28134359
sct2,1800,-231.0635671,-230.9891623,1800,-231.0635671,-230.9891623,0.292875632
seymour1,63.914216,-1,-1,59.5620968,-1,-1,0.01414996
sing326,1800,7.74E+06,7.80E+06,1800,7.74E+06,7.78E+06,3.914391274
sing44,1800,8.11E+06,8.14E+06,1800,8.11E+06,8.15E+06,3.32359047
sp97ar,1800,6.57E+08,6.85E+08,1800,6.57E+08,6.85E+08,4.294037242
sp98ar,1800,5.28E+08,5.30E+08,1800,5.28E+08,5.30E+08,2.441498839
splice1k1,1800,-1645.858154,-121,1800,Inf,Inf,18.31623668
square41,1800,8.897598047,26,1800,8.88177238,26,30.9001703
square47,1800,8.755813953,29,1800,8.755813953,29,30.02816898
supportcase10,1800,1.525083921,17,1800,1.44997722,14,11.79037449
supportcase18,1800,47.18666667,50,1800,47.18666667,49,3.427411913
supportcase19,1800,Inf,Inf,1800,Inf,Inf,0
supportcase22,1800,Inf,Inf,1800,Inf,Inf,0.782372532
supportcase33,303.547651,-1,-1,580.5162084,-1,-1,28.84165634
supportcase6,1800,46833.13797,51922.03256,1800,46752.92144,51906.47737,26.61043533
supportcase7,287.710054,-1,-1,309.9362565,-1,-1,1.119456754
swath1,21.404425,-1,-1,21.01961355,-1,-1,2.098100525
swath3,219.58627,-1,-1,710.200393,-1,-1,2.507780942
tbfp-network,949.753971,-1,-1,1037.251616,-1,-1,22.83954147
tr12-30,685.052693,-1,-1,832.5316422,-1,-1,0.015395831
traininstance2,1800,0,78230,1800,0,80360,24.40283452
traininstance6,1800,3720,28530,1800,2140.50609,28420,25.23069749
trento1,1800,5.18E+06,5.29E+06,1800,5.18E+06,5.29E+06,1.061244692
triptim1,896.022096,-1,-1,589.3426584,-1,-1,1.297144596
uccase9,1800,10874.20784,11327.91081,1800,10868.22279,11723.58601,0
uct-subprob,1781.629875,-1,-1,1800,301.134171,314,0.11045514
unitcal_7,603.512432,-1,-1,640.7775109,-1,-1,0.368870185
var-smallemery-m6j6,1800,-152.3689375,-147.25,1800,-151.8668833,-149.375,0.058722775
wachplan,1800,-9,-8,1620.948852,-1,-1,1.411719493
