mzzv42z,140.0,-1,-1,143.0,-1.0,-1.0,111.0,-1.0,-1.0,121.0,-1.0,-1.0
binkar10_1,33.0,-1,-1,33.0,-1.0,-1.0,24.0,-1.0,-1.0,25.0,-1.0,-1.0
n2seq36q,359.0,-1,-1,364.0,-1.0,-1.0,192.0,-1.0,-1.0,194.0,-1.0,-1.0
neos-1122047,4.0,-1,-1,4.0,-1.0,-1.0,4.0,-1.0,-1.0,4.0,-1.0,-1.0
neos-1171448,8.0,-1,-1,30.0,-1.0,-1.0,8.0,-1.0,-1.0,9.0,-1.0,-1.0
gfd-schedulen180f7d50m30k18,1800,Inf,Inf,1800.0,Inf,Inf,1789.007503634,Inf,Inf,1789.007503634,Inf,Inf
blp-ar98,1800,6182.447728814705,6205.2147104000005,1800.0,6182.466109876829,6205.2147104000005,1800.0,6179.582064263903,6213.5823808000005,1800.0,6179.446048318484,6213.5823808000005
neos-1354092,1800,Inf,Inf,1800.0,Inf,Inf,1796.154731761,Inf,Inf,1796.154731761,Inf,Inf
glass4,724.0,-1,-1,729.0,-1.0,-1.0,1566.0,-1.0,-1.0,1540.0,-1.0,-1.0
blp-ic98,1800,4453.799754536385,4568.987908799999,1800.0,4453.951176589218,4568.987908799999,1800.0,4452.993627712514,4548.040566400001,1800.0,4452.746446296729,4548.040566400001
bnatt400,240.0,-1,-1,113.0,-1.0,-1.0,156.0,-1.0,-1.0,160.0,-1.0,-1.0
neos-1456979,1800,169.33333333333334,178.0,1800.0,169.33333333333334,178.0,1800.0,169.50417629287364,176.0,1800.0,169.50417629287364,176.0
neos-1582420,34.0,-1,-1,27.0,-1.0,-1.0,19.0,-1.0,-1.0,32.0,-1.0,-1.0
bnatt500,549.0,-1,-1,594.0,-1.0,-1.0,774.0,-1.0,-1.0,670.0,-1.0,-1.0
gmu-35-40,1800,-2.406908859038156e6,-2.4063320951999994e6,1800.0,-2.4069087972397124e6,-2.4063320951999994e6,1800.0,-2.406887250896425e6,-2.4056996029000003e6,1800.0,-2.406887257244493e6,-2.4056996029000003e6
neos-2075418-temuka,1800,Inf,Inf,1800.0,Inf,Inf,1796.612399303,Inf,Inf,1796.612399303,Inf,Inf
bppc4-08,1800,52.0,53.0,1800.0,52.0,53.0,1800.0,52.0,53.0,1800.0,52.0,53.0
gmu-35-50,1800,-2.6080702939294367e6,-2.6063782285e6,1800.0,-2.6080702938750377e6,-2.6063782285e6,1800.0,-2.6080702901191274e6,-2.606382575e6,1800.0,-2.6080702900369917e6,-2.606382575e6
graph20-20-1rand,5.0,-1,-1,4.0,-1.0,-1.0,4.0,-1.0,-1.0,4.0,-1.0,-1.0
