Name(Seed 0),Org,,,Org-1,,,2prob,,,2prob-1,,
map16715-04,1800,-154.6372239,-111,1800,-154.6372239,-111,1800,-171.8232726,-111,1800,-173.8265147,-111
markshare_4_0,262.36443,-1,-1,257.469374,-1,-1,261.318257,-1,-1,262.81445,-1,-1
neos-5195221-niemur,1800,0.00123293,0.003835496,1800,0.001257084,0.003835496,1792.227071,-1,-1,1800,0.000671019,0.004882147
roi5alpha10n8,1800,-70.91392413,-48.15203596,1800,-72.47504161,-44.3074943,1800,-70.76549605,-47.97950828,1800,-72.46543157,-45.10821773
roll3000,60.35056,-1,-1,59.770446,-1,-1,36.628953,-1,-1,35.543998,-1,-1
bppc4-08,1800,52,53,1800,52,53,1800,52,53,1800,52,53
markshare2,1800,0,19,1800,0,19,1800,0,14,1800,0,14
neos-631710,1800,188.25,218,1800,Inf,Inf,1800,188.25,214,1770.990911,Inf,Inf
s100,1800,-0.170310509,-0.005,1800,Inf,Inf,1800,-0.170291719,-0.01,1767.183955,Inf,Inf
brazil3,1800,Inf,Inf,1800,21,120,1794.586989,Inf,Inf,1341.362692,-1,-1
mas74,1800,11542.776542201476,11801.185728999995,1800,11545.314332417225,11801.185728999995,1800,11546.395095518343,11801.185728999995,1800,11538.970847118524,11801.185728999995
mas76,134.471196,-1,-1,133.884829,-1,-1,133.077756,-1,-1,133.464335,-1,-1
neos-662469,1800,184368.74865578618,184535,1800,184368.7711013796,184535,1800,184368.97325407594,184568.5,1800,184368.94755016046,184568.5
neos-787933,2.800299,-1,-1,2.804239,-1,-1,2.7791040000000002,-1,-1,2.784037,-1,-1
neos-827175,11.295817,-1,-1,65.049613,-1,-1,11.615461,-1,-1,143.231986,-1,-1
mcsched,280.768939,-1,-1,279.801329,-1,-1,262.820922,-1,-1,263.86242,-1,-1
mik-250-20-75-4,54.335889,-1,-1,54.433247,-1,-1,47.296256,-1,-1,47.686478,-1,-1
s250r10,1800,-0.172604187,-0.169853236,1800,Inf,Inf,1800,-0.172418798,-0.171749975,1771.263525,Inf,Inf
